TotalWeight: 151
MST:
50,49
26:26,40,1
38:3,25,1
173:12,20,1
221:3,21,1
403:20,25,1
454:8,28,1
687:16,35,1
957:10,14,1
1069:22,47,1
1091:21,45,1
1092:11,16,1
1115:9,21,1
1123:2,42,1
1166:6,25,1
70:31,35,2
296:17,39,2
441:26,35,2
620:25,35,2
772:32,46,2
830:25,30,2
889:30,47,2
1142:15,18,2
103:17,46,3
215:18,45,3
218:1,34,3
265:41,42,3
360:2,21,3
496:0,3,3
541:5,20,3
714:3,37,3
866:28,38,3
926:23,49,3
1122:17,44,3
1135:0,4,3
259:15,48,4
328:34,39,4
380:3,14,4
431:39,42,4
717:7,10,4
943:27,45,4
169:2,19,5
488:43,45,5
895:8,31,5
123:23,25,6
791:29,33,6
414:13,35,8
551:9,36,8
1041:29,48,8
49:4,24,10
